CASE_NUMBER,GENDER,MIN_AGE,MAX_AGE,ETHNICITY,HEIGHT_CM,BUILD,DATE_FOUND,ESTIMATED_DEATH,BODY_OR_REMAINS,HAIR,FACIAL_HAIR,EYE_COLOUR,DISTINGUISHING_FEATURES,CLOTHING,POSSESSIONS,CIRCUMSTANCES,JEWELLERY,KNOWN_NOT_TO_BE
23-001473,male,18,30,afro caribbean,180,slim,2022-12-14,,body,black,,brown,"{'FEATURE_1': {'CATEGORY': 'LACKING', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT FINGER', 'DESCRIPTION': 'INDEX TIP FINGER MISSING'}, 'FEATURE_2': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT ARM', 'DESCRIPTION': 'SCAR ON UPPER RIGHT ARM APPROX 35MM LONG'}, 'FEATURE_3': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'CHEST', 'DESCRIPTION': None}, 'FEATURE_4': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT LEG', 'DESCRIPTION': 'MULTIPLE SCARS ON FRONT LOWER LEFT LEG'}, 'FEATURE_5': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT LEG', 'DESCRIPTION': 'SCAR ON LOWER RIGHT LEG 35MM LONG'}}","{'CLOTHING_1': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'SHORTS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""POLYESTER SHORTS IN A SIZE SMALL, BRAND 'DECATHLON'""}, 'CLOTHING_2': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'RED', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""SIZE MEDIUM, BRAND 'OUMO'""}}",,,,
23-001476,male,18,30,afro caribbean,172,,2022-12-14,,body,black - short,,brown,"{'FEATURE_1': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT EAR', 'DESCRIPTION': '2 SMALL GROWTHS IN FRONT OF LEFT EAR'}, 'FEATURE_2': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'L & R FOOT', 'DESCRIPTION': 'WEBBED 2ND AND 3RD TOES ON BOTH FEET'}, 'FEATURE_3': {'CATEGORY': 'SCAR', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'RIGHT LEG', 'DESCRIPTION': 'MULTIPLE NON'}}","{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SHOES', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LEATHER SHOE SIZE 42'}, 'CLOTHING_2': {'CATEGORY': 'GLOVES', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_3': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'MULTI', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BLACK/GREEN JACKET SIZE XL BRAND 'QUECHA'""}, 'CLOTHING_5': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BLUE JACKET SIZE SMALL, BRAND 'ROLY'""}, 'CLOTHING_6': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""HOODED JACKET, SIZE XL, BRAND 'BLACKLIST X'""}, 'CLOTHING_7': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'JACKET SIZE 14'}, 'CLOTHING_8': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'BLACK', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_9': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'BLACK', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_10': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JOGGING', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""2X PAIRS OF POLY/COTTON JOGGING STYLE TROUSERS, SIZE M, BRAND 'SHEIN'""}, 'CLOTHING_11': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'SHORTS', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BRAND 'DECATHLON', SIZE EU""}, 'CLOTHING_12': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'BOXER SHORTS', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BRAND 'PRIMARK'""}, 'CLOTHING_13': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'FLEECE', 'COLOUR': 'BLACK', 'PATTERN': 'TARTAN', 'DESCRIPTION': ""BLACK FLEECE SNOODIE, BRAND 'WED'ZE'""}}","['tobacco', 'cigarette lighters', 'tobacco papers', 'towel', 'sunflower seeds']",,,
23-001464,male,18,30,unknown,,,2022-12-14,,body,black,,brown,,"{'CLOTHING_1': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'NOISETTE' SIZE 42""}, 'CLOTHING_2': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'CARD' SIZE MEDIUM""}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'TRACKSUIT', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SIZE SMALL'}}",,,,
23-000490,male,18,30,afro caribbean,177,slim,2022-12-07,,body,black - short,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'SANDALS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""'PARIS DAKAR' WRITTEN ON SOLE""}, 'CLOTHING_2': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LIGHTWEIGHT JACKET'}, 'CLOTHING_3': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'TOP', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'LOGO OF \'DORAMEON\' A JAPANESE CARTOON CHARACTER WHICH STATES ""DORAPASTE 1952'}, 'CLOTHING_4': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'TRACKSUIT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'NIKE TRACKSUIT BOTTOMS'}}",['a leather band on his right wrist and left ankle.'],,bracelet - 2 - leather band worn on right wrist and left ankle.,
21-006966,male,18,30,white european,175,medium,2021-09-23,2021-09-23,body,,,unknown,"{'FEATURE_1': {'CATEGORY': 'PECULIARITY', 'SUBCATEGORY': 'TEETH', 'LOCATION': 'TEETH', 'DESCRIPTION': 'CAPPED LOWER TOOTH RIGHT SIDE OF MOUTH'}}","{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'NEOPRENE WATERPROOF SHOES SIZE 9'}, 'CLOTHING_2': {'CATEGORY': 'GLOVES', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SLINX NEOPRENE GLOVES IN MEDIUM (WATERPROOF)'}, 'CLOTHING_3': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SLINX NEOPRENE WATERPROOF SOCKS'}, 'CLOTHING_4': {'CATEGORY': 'UNKNOWN', 'SUBCATEGORY': 'UNKOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'WETSUIT'}}",,"deceased male found floating in the english channel 46 miles sw of salcombe, devon.",,
20-008775,male,18,30,afro caribbean,,slim,2020-12-14,,body,black - short,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'POLO', 'COLOUR': 'GREEN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'POLO TOP'}, 'CLOTHING_2': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BLACK LEATHER BELT'}, 'CLOTHING_3': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}",,body of a deceased male recovered on 14/12/2020.,watch - 1 - orange and black watch,
20-007104,male,18,30,asian,188,slim,2020-09-24,2020-09-24,body,grey,stubble,unknown,,,,male located deceased in the heavy surf on the shoreline of the beach.,,
20-003672,male,18,30,white european,152,slim,2020-05-26,,body,light brown - short,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'TRAINERS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'ADIDAS SIZE 7'}, 'CLOTHING_2': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'HOODED', 'COLOUR': 'MULTI', 'PATTERN': 'STRIPED', 'DESCRIPTION': 'BLUE AND PINK HOOP; GEORGE; NO SIZE'}, 'CLOTHING_3': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'HOODED', 'COLOUR': 'GREY', 'PATTERN': 'CHECKED', 'DESCRIPTION': 'VINTAGE ORIGINAL; SIZE M EUR 3'}, 'CLOTHING_4': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'TOP', 'COLOUR': 'GREY', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'THOUGHT TO BE GREY; ATMOSPHERE MY STRETCH TEE; FEMALE SIZE 12'}, 'CLOTHING_5': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'SHIRT', 'COLOUR': 'BLUE', 'PATTERN': 'CHECKED', 'DESCRIPTION': 'LIGHT BLUE/DARK BLUE CHECK; H&M; SIZE EUR LARGE SLIM FIT; CUFFS FOLDED BACK'}, 'CLOTHING_6': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'BLUE WITH PAINT; F&F; AGE 13'}, 'CLOTHING_7': {'CATEGORY': 'BELT', 'SUBCATEGORY': 'BELT', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'PLAYBOY LOGO'}, 'CLOTHING_8': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'BOXER SHORTS', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'CALL OF DUTY TYPE AND WILSON SOCKS'}}","['key ring', 'cigarette butts and trolley coin']","the deceased was located in a hedge. the body was significantly decomposed and when searched, aside from a key ring, cigarette butts and trolley coin, there was nothing to identify the person. he had several layers of clothing on.",,
19-007409,male,18,30,white european,175,large,2019-08-19,,body,black - short,full beard,brown,"{'FEATURE_1': {'CATEGORY': 'MARK', 'SUBCATEGORY': 'UNSPECIFIED', 'LOCATION': 'LEFT CHEEK', 'DESCRIPTION': 'SMALL BLACK MOLE JUST ABOVE BEARD LINE.'}}","{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '1X BLACK STEEL'}, 'CLOTHING_2': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': '2X BLACK TRAINER SOCKS, ORANGE TOE AND HEEL.'}}",,body of male recovered from the water on the beach at beachy head.,bracelet - 1 - woven green/blue.,
19-000363,male,18,30,unknown,170,medium,2018-12-31,2018-12-16,body,dark brown - straight - shoulder length,,unknown,,"{'CLOTHING_1': {'CATEGORY': 'FOOTWEAR', 'SUBCATEGORY': 'BOOTS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""SIZE 10 GOODYEAR WORK BOOT 'SNAP ON'.""}, 'CLOTHING_2': {'CATEGORY': 'HEADWEAR', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'ALICE BAND'}, 'CLOTHING_3': {'CATEGORY': 'HOSE', 'SUBCATEGORY': 'SOCKS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}, 'CLOTHING_4': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""GILET 'HIGH POINT' SIZE 14""}, 'CLOTHING_5': {'CATEGORY': 'JACKET', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'INTERLINK JACKET, BLACK WITH RED AND WHITE DETAILING.'}, 'CLOTHING_6': {'CATEGORY': 'JUMPER', 'SUBCATEGORY': 'HOODED', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'SLAZENGER TOP SIZE L'}, 'CLOTHING_7': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'BLACK', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_8': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'BLACK', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_9': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'T', 'COLOUR': 'SHIRT', 'PATTERN': 'BLACK', 'DESCRIPTION': 'UNKNOWN'}, 'CLOTHING_10': {'CATEGORY': 'SHIRT/BLOUSE', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'WHITE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'PRIMARK TOP'}, 'CLOTHING_11': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'JEANS', 'COLOUR': 'BLUE', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': 'T U JEANS 34W 32L'}, 'CLOTHING_12': {'CATEGORY': 'TROUSERS', 'SUBCATEGORY': 'UNKNOWN', 'COLOUR': 'UNKNOWN', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': ""BLUE/GREY GAP 'LIVED""}, 'CLOTHING_13': {'CATEGORY': 'UNDERWEAR', 'SUBCATEGORY': 'UNDERPANTS', 'COLOUR': 'BLACK', 'PATTERN': 'UNKNOWN', 'DESCRIPTION': None}}","['2"" diameter compact mirror with female disney character ""belle"".']",body of male recovered on salt marsh in tidal area.,pendant - 1 - generic plastic gold school-sports-day 'winner' medal.,
